experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_interpreted,17,2025-02-17T19:05:24.939485,156690433106.0,130230008073.0,40394141303.0,131793838.0,74604.0,69677402319.0,22800218836.0,448970086.0,27.0,74577.0,194803858.29,211173376.0,44.07,42.61,1.43
wasm_interpreted,18,2025-02-17T19:06:51.395044,143618194618.0,121723733144.0,40036242868.0,118909305.0,74016.0,61917986480.0,21375897639.0,433659615.0,18.0,73998.0,190158494.9,210198528.0,42.98,41.67,1.3
native,19,2025-02-17T19:08:15.570707,141979418816.0,112167986670.0,25441943407.0,103512231.0,26817.0,55665391878.0,23439360920.0,213668376.0,21.0,26796.0,100414441.24,105615360.0,54.89,52.75,2.12
wasm_interpreted,19,2025-02-17T19:09:22.067893,164322159221.0,138241414846.0,43745363660.0,121390996.0,72358.0,68031713126.0,25723861178.0,453891622.0,0.0,72358.0,163613969.07,203923456.0,44.92,43.46,1.46
docker_container,19,2025-02-17T19:10:52.195569,153250873427.0,119593403352.0,27155707064.0,107616141.0,29940.0,59001057801.0,25007437995.0,205768795.0,540.0,29398.0,176628039.68,200654848.0,44.3,42.0,2.3
docker_container_and_daemon,19,2025-02-17T19:10:52.195569,164023485154.24,122199852167.46,29103162471.09,140736117.43,30616.61,60302315676.39,26364417721.12,389746296.12,553.37,30060.21,224476364.8,236580864.0,44.36,42.03,2.33
native,20,2025-02-17T19:12:22.976880,148816407161.0,114163067618.0,26644236082.0,106937584.0,28049.0,57544123451.0,24298980692.0,219158564.0,40.0,28009.0,136593320.85,145354752.0,52.88,50.73,2.14
wasm_aot,19,2025-02-17T19:13:34.362548,143628708088.0,112675168009.0,25267227017.0,107995682.0,69382.0,55713248329.0,23423103797.0,205284975.0,150.0,69232.0,163623094.04,190844928.0,54.72,52.6,2.1
docker_container,20,2025-02-17T19:14:43.867112,171743422925.0,132543700437.0,30268129268.0,114715448.0,27957.0,66129130117.0,27906270823.0,212397996.0,395.0,27562.0,144599147.79,173756416.0,51.04,48.58,2.46
docker_container_and_daemon,20,2025-02-17T19:14:43.867112,182001603361.68,137887205389.44,31770104621.57,129613458.12,29190.45,68861840310.81,29423719401.8,316760697.18,410.56,28779.92,201212856.56,209833984.0,51.09,48.6,2.48
wasm_aot,20,2025-02-17T19:16:14.317834,150259910638.0,114188124518.0,26570734653.0,110784183.0,65767.0,56714479189.0,23597319799.0,215517567.0,15.0,65752.0,144582064.36,183484416.0,52.17,49.93,2.17
wasm_interpreted,20,2025-02-17T19:17:26.479514,162392971445.0,137181929771.0,42949210762.0,122775901.0,74213.0,71605514794.0,25964261772.0,460949019.0,181.0,74032.0,194743344.76,233857024.0,43.42,42.0,1.42
