experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,15,2025-02-17T15:06:29.927024,113311864554.13,93220933316.31,20271651640.64,103626215.36,22613.57,43482871899.14,18470869374.54,289943545.45,1.06,22606.51,108860652.31,113500160.0,41.94,39.82,2.12
wasm_interpreted,13,2025-02-17T15:07:38.199603,118260297777.0,98830490461.0,35490232455.0,85403350.0,52356.0,52297124633.0,18066570459.0,397444696.0,0.0,52356.0,128887327.35,149061632.0,40.87,39.76,1.07
wasm_interpreted,14,2025-02-17T15:08:50.444504,107953294970.0,100857482877.0,35260682616.0,92947306.0,52927.0,55921204800.0,17110418236.0,474024667.0,61.0,52866.0,132620474.18,152084480.0,40.83,39.65,1.18
wasm_interpreted,15,2025-02-17T15:09:58.872892,104779148047.0,97821938571.0,30150609532.0,81565380.0,52800.0,44006760818.0,16019980426.0,412423577.0,53.0,52747.0,131662188.09,149671936.0,40.33,39.34,1.15
native,16,2025-02-17T15:11:06.826172,101183659539.0,76681999037.0,17359733947.0,73762621.0,21118.0,38843507455.0,15949059509.0,185227735.0,18.0,21100.0,64420352.0,69939200.0,53.19,51.25,1.91
wasm_interpreted,16,2025-02-17T15:11:53.962953,118535097074.0,104338237279.0,36816996716.0,91681109.0,52149.0,55953600121.0,17905562019.0,378801798.0,0.0,52149.0,131217115.43,147488768.0,41.64,40.58,1.06
docker_container,16,2025-02-17T15:13:02.868505,125632114105.0,96701471430.0,21739754193.0,90623531.0,22454.0,47806348684.0,20310263110.0,177451971.0,482.0,21973.0,95749632.0,115023872.0,51.25,48.22,3.03
docker_container_and_daemon,16,2025-02-17T15:13:02.868505,141162637444.46,103612897710.5,24312729220.67,124392154.78,24051.08,52286242978.29,22566124752.68,190368901.65,516.17,23535.98,142877192.13,152100864.0,51.29,48.23,3.05
docker_container,17,2025-02-17T15:14:09.530790,126476319318.0,98332986932.0,21209857310.0,84167561.0,21900.0,46833835125.0,19596392368.0,176180750.0,0.0,21815.0,69317745.78,76955648.0,50.84,48.28,2.57
docker_container_and_daemon,17,2025-02-17T15:14:09.530790,135744615944.93,103498033799.17,22471499582.7,97568115.45,22557.35,48253212603.25,21086339206.53,563914849.71,1.04,22471.28,111940591.21,116318208.0,50.91,48.3,2.61
wasm_interpreted,17,2025-02-17T15:15:14.762665,137715472798.0,114118476116.0,38055060566.0,89073820.0,52222.0,54505992208.0,20678469535.0,398779985.0,44.0,52178.0,144053956.92,161775616.0,43.82,42.52,1.27
